geoid,tract_id,full_fips,state,county,total_population,median_income,median_home_value,education_rate,homeowner_rate,remote_work_rate,population_density,latitude,longitude,population_cluster,economic_cluster,education_cluster,geographic_cluster,comprehensive_cluster
37067002605,002605,37067002605,NC,FORSYTH,2209,68918,271500,0.425531914893617,0.521296296296296,0.0715255771842463,7467202846761.216,36.1265648,-80.3292089,1,3,2,0,1
37067002606,002606,37067002606,NC,FORSYTH,4085,64107,205000,0.334638922888617,0.67005076142132,0.0802937576499388,6191650007793.711,36.1371557,-80.313873,1,3,2,0,3
37067002701,002701,37067002701,NC,FORSYTH,7503,53783,135200,0.117552978808477,0.44933749025721,0.0174596827935492,13342690644262.031,36.1610055,-80.3087589,2,1,1,0,0
37067002702,002702,37067002702,NC,FORSYTH,5254,38980,124700,0.166730110392082,0.164091858037578,0.0616673011039208,8929135789199.727,36.1632531,-80.2768238,3,2,1,0,0
37067002704,002704,37067002704,NC,FORSYTH,2611,32652,137500,0.259670624281884,0.0690811535881958,0.0130218307162007,11367773661714.527,36.1480691,-80.2762917,3,2,1,0,4
37067002705,002705,37067002705,NC,FORSYTH,3087,36667,305400,0.217363135730483,0.0466666666666667,0.0453514739229025,11262994536285.637,36.1454142,-80.2926236,3,2,1,0,4
37067002801,002801,37067002801,NC,FORSYTH,4734,87500,204300,0.232572877059569,0.908564814814815,0.091254752851711,877771830410.0802,36.2255758,-80.3966691,1,0,2,2,3
37067002804,002804,37067002804,NC,FORSYTH,3983,51111,184100,0.177755460708009,0.838687150837989,0.0273663068039166,3069900432007.2217,36.1848889,-80.3098969,1,1,1,0,2
37067002806,002806,37067002806,NC,FORSYTH,3142,37077,182600,0.116486314449395,0.262379896526238,0.0120942075111394,3388491339876.2617,36.1864015,-80.276951,1,1,1,0,2
37067002807,002807,37067002807,NC,FORSYTH,5397,66757,157900,0.139707244765611,0.882511210762332,0.0470631832499537,1824541247834.5518,36.2376958,-80.27783,2,3,1,3,2
37067002808,002808,37067002808,NC,FORSYTH,4087,59375,172700,0.220455101541473,0.708959376739009,0.0389038414484952,2059726535948.7856,36.2420401,-80.3174502,1,1,1,0,2
37067002809,002809,37067002809,NC,FORSYTH,3290,77058,195700,0.183586626139818,0.874901652242329,0.0650455927051672,1550786405990.1172,36.2232931,-80.3397613,1,3,1,0,2
37067002901,002901,37067002901,NC,FORSYTH,5112,54667,167500,0.129499217527387,0.706179775280899,0.0246478873239437,1318231798611.5405,36.2017329,-80.2266499,1,1,1,3,2
37067002903,002903,37067002903,NC,FORSYTH,4006,58393,83200,0.13654518222666,0.805426356589147,0.00574138791812282,3198647326379.8105,36.1685103,-80.2018375,1,1,1,0,2
37067002904,002904,37067002904,NC,FORSYTH,1999,49722,154800,0.11655827913957,0.833333333333333,0.0270135067533767,547416764469.0156,36.2106829,-80.1734388,1,1,1,3,2
37067003002,003002,37067003002,NC,FORSYTH,4310,63411,160900,0.137122969837587,0.805878750765462,0.0596287703016241,2640281459663.939,36.1515087,-80.1744504,1,3,1,1,2
37067003003,003003,37067003003,NC,FORSYTH,4022,66406,204000,0.134012928891099,0.802952029520295,0.043262058677275,2469376222184.8755,36.1327751,-80.1526445,1,3,1,1,2
37067003004,003004,37067003004,NC,FORSYTH,3583,78490,285800,0.312308121685738,0.71068754254595,0.0600055819145967,4243791866526.6826,36.1208277,-80.1265259,1,3,2,1,2
37067003103,003103,37067003103,NC,FORSYTH,5132,94565,282100,0.257794232268122,0.814636283961437,0.0600155884645362,1380006936774.8252,36.1885414,-80.0721746,2,3,2,3,2
37067003105,003105,37067003105,NC,FORSYTH,4014,77583,199400,0.134778276033881,0.811659192825112,0.0291479820627803,1939228234652.8882,36.1887253,-80.143791,1,1,1,3,2
