precinct,county,area_km2,perimeter_km,shape_complexity,longitude,latitude,precinct_political,total_votes_sum,avg_votes_per_contest,num_contests,dem_pct,rep_pct,other_pct,precinct_flippable,dem_votes,oppo_votes,dem_margin,dva_pct_needed,total_votes,dem_vote_pct,competitiveness,flippability_score,comprehensive_cluster
301,FORSYTH,13.453220105153498,18.3845768121435,1413.9549792630826,-80.22779703091697,36.11801270918931,301,37100,158.54700854700855,234,36.324786324786324,28.205128205128204,35.47008547008547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
302,FORSYTH,31.6791216599782,35.3843495970278,1773.4531470503123,-80.2380711334593,36.13004021648004,302,46159,197.26068376068375,234,36.324786324786324,28.205128205128204,35.47008547008547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
303,FORSYTH,11.7639362944911,24.225810692896,1992.4941510110395,-80.22431418953899,36.123665399117115,303,29455,128.06521739130434,230,36.52173913043478,28.695652173913043,34.78260869565217,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
304,FORSYTH,57.179131379386,39.3961044894503,1469.702970088096,-80.21815091496183,36.13532551964996,304,102191,442.38528138528136,231,36.36363636363637,28.57142857142857,35.064935064935064,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
305,FORSYTH,33.8880150617404,33.0574867468583,1601.923729744145,-80.204577597176,36.14166382234922,305,81100,352.60869565217394,230,36.52173913043478,28.26086956521739,35.21739130434783,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
306,FORSYTH,47.422911523708,34.135887186247395,1398.3379864546437,-80.23364199345592,36.153868863045936,306,68679,298.60434782608695,230,36.08695652173913,28.695652173913043,35.21739130434783,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
401,FORSYTH,115.242663897426,70.8635140414662,1862.1347655989832,-80.19331595970712,36.105297275036534,401,86275,373.4848484848485,231,36.36363636363637,28.13852813852814,35.4978354978355,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
402,FORSYTH,21.8261012889488,23.9111786345342,1443.8030961763423,-80.2171640976947,36.11011497931874,402,56962,239.3361344537815,238,36.134453781512605,27.73109243697479,36.134453781512605,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
403,FORSYTH,33.675042976293,38.1539754164153,1854.7303738146725,-80.23900137363826,36.10704099650969,403,79532,316.8605577689243,251,35.85657370517929,26.693227091633464,37.45019920318725,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
404,FORSYTH,26.1419946522822,28.1050422004711,1550.6363089567221,-80.23316903883294,36.09812809523664,404,132260,548.7966804979253,241,36.51452282157676,27.385892116182575,36.09958506224066,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
405,FORSYTH,36.3387415818723,32.9127731982011,1540.1910780210494,-80.22926874255768,36.08483767169479,405,88957,381.78969957081546,233,36.9098712446352,27.467811158798284,35.622317596566525,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
501,FORSYTH,53.9350922590424,35.3387061956092,1357.4067368723775,-80.19859909563262,36.082083427053114,501,108953,486.39732142857144,224,36.607142857142854,29.017857142857146,34.375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
502,FORSYTH,29.8408934674955,27.9583319309268,1443.777979101955,-80.21660350545189,36.077216498894636,502,66407,286.23706896551727,232,36.206896551724135,28.01724137931034,35.775862068965516,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
503,FORSYTH,32.2461193490102,27.2740086708027,1354.8939817185028,-80.23214274357979,36.06489478004143,503,69965,293.97058823529414,238,36.134453781512605,27.310924369747898,36.554621848739494,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
504,FORSYTH,27.757322678041803,26.0942696357887,1397.1769963638515,-80.21000646547074,36.06362344369102,504,55312,246.92857142857142,224,36.607142857142854,29.017857142857146,34.375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
505,FORSYTH,76.88728372806149,44.9806989260485,1447.0848878874276,-80.22053465675287,36.045679025130376,505,86873,386.1022222222222,225,36.44444444444444,29.333333333333332,34.22222222222222,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
506,FORSYTH,51.0817612640642,31.232880165582102,1232.747616137315,-80.24253725385712,36.033645727925126,506,97060,423.8427947598253,229,35.80786026200873,30.567685589519648,33.624454148471614,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
508,FORSYTH,100.38221178639799,59.074413211143,1663.2828293741234,-80.16984822397389,36.08709405607143,508,81373,542.4866666666667,150,33.33333333333333,26.0,40.666666666666664,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
509,FORSYTH,54.7660487910396,31.207037947604103,1189.575230167924,-80.15121912369217,36.07952267303056,509,77485,527.1088435374149,147,33.33333333333333,26.53061224489796,40.136054421768705,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
601,FORSYTH,22.8345193795227,25.932870196167002,1530.9102002931684,-80.24998618153437,36.08799761695727,601,98705,406.1934156378601,243,36.62551440329218,28.80658436213992,34.5679012345679,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
602,FORSYTH,77.041124440776,38.7434497321575,1245.179750481214,-80.2881944273986,36.03871665821755,602,264666,1112.0420168067226,238,36.134453781512605,31.092436974789916,32.773109243697476,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
603,FORSYTH,37.6142096730021,25.5343298552645,1174.4744185765776,-80.24936528321294,36.074635635338645,603,121295,536.7035398230089,226,36.72566371681416,28.761061946902654,34.51327433628318,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
604,FORSYTH,38.2849241684729,39.2830433773561,1790.9617017597761,-80.26673003966174,36.067905929159856,604,89132,380.9059829059829,234,36.324786324786324,27.77777777777778,35.8974358974359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
605,FORSYTH,72.74280861602169,62.3292878352782,2061.542061479924,-80.26224565910368,36.044901876686545,605,190797,815.3717948717949,234,36.324786324786324,27.77777777777778,35.8974358974359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
606,FORSYTH,29.3980603539056,24.2241557468903,1260.3303060780609,-80.2466097340359,36.055277534558165,606,89266,389.8078602620087,229,36.681222707423586,28.38427947598253,34.93449781659388,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
