county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score
FORSYTH,807,NC LIEUTENANT GOVERNOR,2020-11-03,827,809,0,1636,DEM,18,1.1,1.1,1.16,Tier 3: Medium Priority (1.0-2.0%),1.363333333333333
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,1421,1390,0,2811,DEM,31,1.1,1.1,1.14,Tier 3: Medium Priority (1.0-2.0%),2.3425
FORSYTH,908,NC COMMISSIONER OF LABOR,2020-11-03,1183,1156,0,2339,DEM,27,1.15,1.15,1.2,Tier 3: Medium Priority (1.0-2.0%),1.8712
FORSYTH,908,US SENATE,2020-11-03,1186,1158,0,2344,DEM,28,1.19,1.19,1.24,Tier 3: Medium Priority (1.0-2.0%),1.8170542635658913
FORSYTH,74,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1456,1421,0,2877,DEM,35,1.22,1.22,1.25,Tier 3: Medium Priority (1.0-2.0%),2.1795454545454542
FORSYTH,804,NC COMMISSIONER OF INSURANCE,2020-11-03,529,516,0,1045,DEM,13,1.24,1.24,1.34,Tier 3: Medium Priority (1.0-2.0%),0.7798507462686566
FORSYTH,135,NC SECRETARY OF STATE,2024-11-05,1418,1383,0,2801,DEM,35,1.25,1.25,1.28,Tier 3: Medium Priority (1.0-2.0%),2.0748148148148147
FORSYTH,806,NC COMMISSIONER OF INSURANCE,2020-11-03,794,773,0,1567,DEM,21,1.34,1.34,1.4,Tier 3: Medium Priority (1.0-2.0%),1.0881944444444442
FORSYTH,809,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,1150,1119,0,2269,DEM,31,1.37,1.37,1.41,Tier 3: Medium Priority (1.0-2.0%),1.5435374149659862
FORSYTH,802,NC COMMISSIONER OF LABOR,2020-11-03,664,646,0,1310,DEM,18,1.37,1.37,1.45,Tier 3: Medium Priority (1.0-2.0%),0.8911564625850339
FORSYTH,132,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1922,1869,0,3791,DEM,53,1.4,1.4,1.42,Tier 3: Medium Priority (1.0-2.0%),2.527333333333333
FORSYTH,804,NC COMMISSIONER OF AGRICULTURE,2024-11-05,534,519,0,1053,DEM,15,1.42,1.42,1.52,Tier 3: Medium Priority (1.0-2.0%),0.6927631578947369
FORSYTH,14,NC GOVERNOR,2024-11-05,887,862,0,1749,DEM,25,1.43,1.43,1.48,Tier 3: Medium Priority (1.0-2.0%),1.143137254901961
