county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score,dva_votes_added,new_dem_votes,new_total_votes,new_vote_diff,flipped
FORSYTH,803,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,597,612,0,1209,REP,15,1.24,-1.24,1.32,Tier 3: Medium Priority (1.0-2.0%),0.9022388059701493,36,633,1245,-21,True
FORSYTH,55,NC GOVERNOR,2020-11-03,1570,1610,0,3180,REP,40,1.26,-1.26,1.29,Tier 3: Medium Priority (1.0-2.0%),2.338235294117647,95,1665,3275,-55,True
FORSYTH,74,NC TREASURER,2020-11-03,1396,1432,0,2828,REP,36,1.27,-1.27,1.31,Tier 3: Medium Priority (1.0-2.0%),2.064233576642336,85,1481,2913,-49,True
FORSYTH,806,NC TREASURER,2024-11-05,776,796,0,1572,REP,20,1.27,-1.27,1.33,Tier 3: Medium Priority (1.0-2.0%),1.1474452554744525,47,823,1619,-27,True
FORSYTH,32,NC ATTORNEY GENERAL,2024-11-05,1338,1373,0,2711,REP,35,1.29,-1.29,1.33,Tier 3: Medium Priority (1.0-2.0%),1.9503597122302156,81,1419,2792,-46,True
FORSYTH,134,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1367,1403,0,2770,REP,36,1.3,-1.3,1.33,Tier 3: Medium Priority (1.0-2.0%),1.9785714285714284,83,1450,2853,-47,True
FORSYTH,31,NC GOVERNOR,2024-11-05,780,801,0,1581,REP,21,1.33,-1.33,1.39,Tier 3: Medium Priority (1.0-2.0%),1.1055944055944056,47,827,1628,-26,True
FORSYTH,16,US HOUSE OF REPRESENTATIVES DISTRICT 06,2022-11-08,743,763,0,1506,REP,20,1.33,-1.33,1.39,Tier 3: Medium Priority (1.0-2.0%),1.053146853146853,45,788,1551,-25,True
FORSYTH,131,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1497,1538,0,3035,REP,41,1.35,-1.35,1.38,Tier 3: Medium Priority (1.0-2.0%),2.093103448275862,91,1588,3126,-50,True
FORSYTH,51,NC ATTORNEY GENERAL,2024-11-05,1246,1280,0,2526,REP,34,1.35,-1.35,1.38,Tier 3: Medium Priority (1.0-2.0%),1.742068965517241,76,1322,2602,-42,True
FORSYTH,131,NC STATE SENATE DISTRICT 32,2022-11-08,1049,1078,0,2127,REP,29,1.36,-1.36,1.41,Tier 3: Medium Priority (1.0-2.0%),1.456849315068493,64,1113,2191,-35,True
FORSYTH,131,FORSYTH COUNTY BOARD OF EDUCATION AT-LARGE,2022-11-08,2900,2984,0,5884,REP,84,1.43,-1.43,1.44,Tier 3: Medium Priority (1.0-2.0%),3.845751633986928,177,3077,6061,-93,True
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,792,815,0,1607,REP,23,1.43,-1.43,1.49,Tier 3: Medium Priority (1.0-2.0%),1.050326797385621,48,840,1655,-25,True
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,646,665,0,1311,REP,19,1.45,-1.45,1.52,Tier 3: Medium Priority (1.0-2.0%),0.8458064516129031,39,685,1350,-20,True
FORSYTH,135,NC LIEUTENANT GOVERNOR,2024-11-05,1363,1404,0,2767,REP,41,1.48,-1.48,1.52,Tier 3: Medium Priority (1.0-2.0%),1.75126582278481,83,1446,2850,-42,True
