county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed
FORSYTH,805,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,2811,2827,0,5638,REP,16,0.28,-0.28,0.3
FORSYTH,16,NC SECRETARY OF STATE,2024-11-05,1155,1162,0,2317,REP,7,0.3,-0.3,0.34
FORSYTH,807,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,789,784,0,1573,DEM,5,0.32,0.32,0.38
FORSYTH,701,NC TREASURER,2020-11-03,603,599,0,1202,DEM,4,0.33,0.33,0.42
FORSYTH,809,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1163,1171,0,2334,REP,8,0.34,-0.34,0.39
FORSYTH,77,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1147,1139,0,2286,DEM,8,0.35,0.35,0.39
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,959,966,0,1925,REP,7,0.36,-0.36,0.42
FORSYTH,806,NC ATTORNEY GENERAL,2020-11-03,800,806,0,1606,REP,6,0.37,-0.37,0.44
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,784,778,0,1562,DEM,6,0.38,0.38,0.45
FORSYTH,52,NC SECRETARY OF STATE,2024-11-05,493,497,0,990,REP,4,0.4,-0.4,0.5
FORSYTH,43,NC GOVERNOR,2020-11-03,1057,1066,0,2123,REP,9,0.42,-0.42,0.47
FORSYTH,131,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1520,1533,0,3053,REP,13,0.43,-0.43,0.46
FORSYTH,77,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1130,1140,0,2270,REP,10,0.44,-0.44,0.48
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,779,772,0,1551,DEM,7,0.45,0.45,0.52
FORSYTH,131,US SENATE,2022-11-08,1054,1064,0,2118,REP,10,0.47,-0.47,0.52
